Česká glosa;Řečtina;Cvičení;LSJ
pomáhám; ἀμύνω (s dat.);39;
bráním se komu; ἀμύνουμαι (s ak.);39;
bráním vlast; ἀμύνουμαι ὑπερ τῆς πατρίδος;39;
nesu, dopravuji; κομίζω;39;
získávám vděčnost; χάριν κομίζομαι;39;
dodávám odvahy, posiluji; θαρρύνω;39;
rodič, otec;ὁ γονεύς, έως;40;
poskytuji;παρ-έχω;40;
od;παρά (s gen.);40;
u;παρά (s dat.);40;
loď;ἡ ναῦς, νεώς;40;
lodník, plavec;ὁ ναύτης, ου;40;
lupič;ὁ λῃστής, οῦ;40;
zároveň s;ἅμα (s dat.);40;
obrátil jsem na útěk;εἰς φυγὴν ἐτπεψάμην;40;
král;ὁ βασιλεύς, έως;40;
soudce;ὁ δικαστής, οῦ;40;
kněz;ὁ ἱερεύς, έως;40;
připodobňuji, přirovnávám;ἀπ-εικάζω;40;
představený;ὁ ἄρχων, οντος;40;
řídím;εὐθύνω;40;
jezdec;ὁ ἱππεύς, έως;40;
rolník, zemědělec;ὁ γεωργός, οῦ;40;
býk, kráva;ὁ (ἡ) βοῦς, βοός;40;
veliký;μέγας, μεγάλη, μέγα 3;41;
nakloněný, ochotný;πρό-θυμος 2;41;
mnohý;πολύς, πολλή, πολύ 3;41;
vojsko;ὁ στρατός, οῦ;41;
zdraví;ἡ ὑγίεια, ας;41;
příhoda, pohroma, neštěstí;ἡ συμφορά, ᾶς;41;
prospívám;λυσιτελῶ, εῖν;41;
stárnu;γηράσκω;41;
na světě;ἐν ἀνθρώποις;41;
den;ἡ ἡμέρα, ας;42;
sluší se;πρέπει;42;
vzor;τό παρά-δειγμα, ατος;42;
opačný;ἐναντίος 3;42;
poslední;τελευταῖος 3;42;
prostřední;μέσος 3;42;
střed;τό μέσον, ου;42;
stíním, vrhám stín;ἀπο-σκιάζω;42;
docela jistě, ovšem;μάνυ γε;42;
množství;τό πλῆθος, ους;42;
mužnost, statečnost;ἡ ἀνδρεία, ας;42;
mnohem;πολύ (u kompar.);42;
Sapfó;ἡ Σαπφώ, οῦς;43;
božský;θεῖος 3;43;
na;ἐπί (s dat.);43;
Argó;ἡ Ἀργώ, οῦς;43;
hrdina;ὁ ἥρως, ωος;43;
Římané;οἱ Ῥωμαῖοι, ων;43;
potomek;ὁ ἀπό-γονος, ου;43;
Trójan;ὁ Τρώς, ωός;43;
Aineias;ὁ Αἰνείας, ου;43;
Trója;ἡ Τροία, ας;43;
Itálie;ἡ Ἰταλία, ας;43;
odpovídám;ἀπο-κρίνομαι;43;
zdali;εἰ (v nepř. otázkách);43;
zdám se;δοκῶ, εῖν;43;
říkám;φημί, φάναι;43;
ziskuchtivý;φιλο-κερδής 2;43;
Milón;ὁ Μίλων, ωνος;43;
Olympie;ἡ Ὀλυμπία, ας;43;
stadión, závodiště;τό στάδιον, ου;43;
povaha;τό ἦθος, ους;43;
projevuji, vyslovuji mínění;ἀπο-φαίνομαι τὴν γνώμην;43;
živočich;τό ζῷον, ου;43;
obléhám;πολιορκῶ, εῖν;43;
síla, moc;ἡ δύναμις, εως;44;
nazývám;προσ-αγορεύω;44;
luštím, řeším;δια-λύω;44;
Achilleus;ὁ Ἀχιλλεύς, έως;44;
Paris;ὁ Πάρις, ιδος;44;
střílím (z luku);τοξεύω;44;
Cicero;ὁ Κικέρων, ωνος;44;
Antonius;ὁ Ἀντώνιος, ου;44;
Řím;ἡ Ῥώμη, ης;44;
odhazuji, zahazuji;ἀπο-ρρίπτω;44;
Harmodios;ὁ Ἁρμόδιος, ου;45;
Aristogeitón;ὁ Ἀριστογείτων, ονος;45;
veškerý, každý;ἅ-πας 3;45;
zapisuji, zaznamenávám;ἀνα-γράφω;45;
dobrodinec;ὁ εὐ-εργέτης, ου;45;
brzo;τάχα;45;
nutím;ἀναγκάζω;45;
právě;πέρ;45;
doufám;ἐλπίζω;45;
nevina;ἡ ἀν-αιτία, ας;45;
objevuji, ukazuji;δηλῶ, οῦν;45;
nemožný;ἀ-δύνατος 2;45;
vystupuji (ven) z řady;πορεύομαι ἔξω τῆς τάξεως;45;
řada;ἡ τάξις, εως;45;
trestám;κολάζω;45;
nedbám;ἀ-μελῶ, εῖν (s gen.);45;
bez; ἄνευ (s gen.);46;
někdy, po záporce: nikdy; πώποτε;46;
učenlivý, horlivý v učení; φιλο-μαθής 2;46;
věc; τό χρῆμα, ατος;46;
znalý; ἐπι-στήμων 2;46;
stýkám se s, obcuji s; σύν-ειμι, εῖναι;46;
jsem vzdálen, chybím; ἄπ-ειμι, εῖναι;46;
prázdný, jalový; κενός 3;46;
vytrvalý, usilovný, mocný; καρτερός 3;46;
je třeba; χρή, χρῆναι;46;
je možno, lze; ἔξ-εστι(ν);46;
jsem přítomen; πάρ-ειμι, εῖναι;46;
vidím; ὁρῶ, ᾶν;46;
zkušební kámen ;ἡ βάσανος, ου;47;
rok ;τό ἔτος, ους;47;
až do ;μέχρι (s gen.);47;
vrhám kopí ;ἀκοντίζω;47;
žádný ;οὐδ-είς, -μία, -έν;47;
žádám (někoho o něco) ;αἰτῶ, εῖν (τινά τι);47;
měsíc ;ὁ μήν, μηνός;47;
ostrov Salamína ;ἡ Σαλαμίς, ῖνος;47;
počet ;ὁ ἀριθμός, οῦ;47;
okolo, u čísla asi ;ἀμφί (s ak.);47;
olympiáda;ἡ Ὀλυμπιάς, άδος;48;
Messénie;ἡ Μεσσηνία, ας;48;
část, díl;τό μέρος, ους;48;
vrstevník;ὁ ἡλικιώτης, ου;48;
blížím se;πλησιάζω;48;
kde (vzt.);οὗ;48;
zůstávám;μένω;48;
podstupuji nebezpečí;κινδυνεύω;48;
v platnosti adv. nijak;οὐδέν, μηδέν;48;
myslím na;ὑπο-λογίζομαι (s ak.);48;
mimo, kromě;πλήν (s gen.);48;
nařizuji, přikazuji;προσ-τάττω;48;
přicházím; ἔπ-ειμι, ιέναι;49;
příští den; ἡ ἐπιοῦσα ἡμέρα;49;
pole, venkov; ὁ ἀγρός, οῦ;49;
každodenně; καθ' ἑκάστην ἡμέραν;49;
společný oběd; τό συσ-σίτιον, ου;49;
bezpečný; ἀσφαλής 2;49;
odcházím; ἄπ-ειμι, ιέναι;49;
pochodeň; ἡ λαμπάς, άδος;49;
obcházím, chodím dokola; περί-ειμι, ιέναι;49;
hledám; ζητῶ, εῖν;49;
unáším, loupím; ἁρπάζω;49;
blížím se; πρόσ-ειμι, ιέναι;49;
křik; ἡ κραυγή, ῆς;49;
s křikem; κραυγῇ;49;
mlčky, potichu; σιγῇ;49;
naloďuji;ἀνα-βιβάζω;50;
pluji na moře;ἀν-άγομαι;50;
síla, vojenská moc;ἡ ἰσχύς, ύος;50;
tak veliký;τοσ-οῦτος, -αύτη, -οῦτο(ν);50;
již tedy;ἤδη δή;50;
naplňuji;πληρῶ, οῦν;50;
slunce se zatmívá;ὁ ἥλιος ἐκ-λείπει;50;
tma;τό σκότος, ους;50;
děsím;ἐκ-πλήττω;50;
znamení;τό σημεῖον, ου;50;
ustrašený;περί-φοβος 2;50;
jsem bezradný;ἀ-πορῶ, εῖν;50;
rozpínám, napínám;ἐκ-τείνω;50;
plášť;ἡ χλαμύς, ύδος;50;
myslím, mám za to, že;οἴομαι;50;
zdali snad;μή (v ot.);50;
liším se;δια-φέρω;50;
leda že;πλὴν ὅτι;50;
trochu;τί (ak. v platn. adv.);50;
zatmění;ἡ ἐπι-σκότησις, εως;50;
obědvám;δειπνῶ, εῖν;51;
rozmlouvám;δια-λέγομαι (s dat.);51;
zbavuji něk. něč., připravuji něk. o něco;ἀπο-στερῶ, εῖν (τινά τινος);51;
chudý;πένης, ητος 2;51;
špatně mluvím o někom;κακῶς λέγω (s ak.);51;
blahoslavím;μακαρίζω;51;
Makedón;ὁ Μακεδών, όνος;51;
Aristotelés;ὁ Ἀριστοτέλης, ους;51;
Prométheus;ὁ Προμηθεύς, έως;52;
kradu;κλέπτω;52;
oheň;τό πῦρ, ός;52;
nebe;ὁ οὐρανός, οῦ;52;
Kalliklés;ὁ Καλλικλῆς, έους;52;
přirozeně, případně;εἰκότως;52;
spasitel;ὁ σωτήρ, ῆρος;52;
podnikám boj na moři;ναυμαχίαν ποιοῦμαι;52;
lze;ἔστι;52;
umírám;άπο-θνῄσκω;52;
Platón;ὁ Πλάτων, ωνος;53;
šibalství;ἡ εἰρωνεία, ας;53;
šibalsky;εἰρωνικῶς;53;
Prótagoras;ὁ Πρωταγόρας, ου;53;
hlas;ἡ φωνή, ῆς;53;
kouzlím, okouzluji;κηλῶ, εῖν;53;
za hlasem;κατα τὴν φωνήν;53;
následuji;ἕπομαι (s dat.);53;
slyším něco od něk.;ἀκούω (τινός τι);53;
před soudem;ἐν τοῖς δικασταῖς;53;
uhlazeně mluvím;καλλιεπῶ, εῖν;53;
Télemachos;ὁ Τηλέμαχος, ου;53;
po otcích zděděný, otcovský;πατρῷος 3;53;
vchod, přístup;ἡ εἴσοδος, ου;54;
Kerberos;ὁ Κέρβερος, ου;54;
opevňuji;τειχίζω;54;
nejprve;τό πρῶτον, ου;54;
Sicílie;τό Σικελία, ας;54;
roztrušuji;δια-σπείρω;54;
nevěřím, nedůvěřuji;ἀ-πιστῶ, εῖν;54;
Klearchos;ὁ Κλέαρχος, ου;54;
táhnu v čele, vedu;ἡγοῦμαί (τινι);54;
nařizuji, přikazuji;παρ-αγγέλλω;54;
Arménie;ἡ Ἀρμενία, ας;54;
hubím, ničím, kazím;δια-φθείρω;54;
uvažuji, rozjímám;σκέπτομαι;55;
pečuji, mám se na pozoru, varuji se;εὐλαβοῦμαι, εῖσθαι;55;
všude;πανταχοῦ;55;
spravedlnost;ἡ Δίκη, ης;56;
snáším, přispívám, prospívám;συμ-φέρω;56;
(impf. snahové) nemohli přemluviti;οὐκ ἔπειθον;56;
Zeus;ὁ Ζεύς, Δίος, Διί, Ζεῦ;56;
Tantalos;ὁ Τάνταλος, ου;56;
plodím, rodím;γεννῶ, ᾶν;56;
nesmrtelný;ἀ-θάνατος 2;56;
špatnost, zločinnost;ἡ κακία, ας;56;
msta, trest;ἡ τιμωρία, ας;56;
nález, návrh;τό ψήφισμα, ατος;56;
list;ἡ ἐπιστολή, ῆς;56;
málokteří, nemnozí;ὀλίγοι;56;
dostatečný;ἱκανός 3;56;
mohu;ἔχω (s inf.);56;
poučuji;ἐκ-διδάσκω;56;
nikterak neusiluji; οὐδὲν πράττω;57;
podřizuji; ὑπο-τάττω;57;
vrážím do někoho něčím; ἐν-σείω (τινί τι);57;
břevno, trám; ὁ (ἡ) δοκός, οῦ;57;
Diogenés; ὁ Διογένης, ους;57;
potom, až potom; εἶτα;57;
udeřuji; πλήττω;57;
hůl; ἡ βακτηρία, ας;57;
unikám; ἀπο-φεύγω;57;
záhuba; ὁ ὄλεθρος, ου;57;
samovládce; ὁ τύραννος, ου;57;
tyrannida; ἡ τυραννίς, ίδος;57;
Syrakusané; οἱ Συρακόσιοι, ων;57;
Kreón; ὁ Κρέων, οντος;57;
nařizuji; ἐπι-τάττω;57;
Polyneikés; ὁ Πολυνείκης, ους;57;
Héfaistos;ὁ Ἥφαιστος, ου;58;
házím, vrhám;ῥίπτω;58;
Aischinés;ὁ Αἰσχίνης, ου;58;
žaluji;κατ-ηγορῶ, εῖν;58;
uvažuji;λογίζομαι;58;
vítězné znamení;τό τρόπαιον, ου;58;
soukromě;ἰδίᾳ;58;
na státní útraty;δημοσίᾳ;58;
společně živím, vychovávám;συν-τρέφω;58;
druh u stolu, spolustolovník;σύσ-σιτος 2;58;
pobíjím, rozbíjím, rozdrcuji;κατα-κόπτω;58;
síla (tělesná);ἡ ῥώμη, ης;58;
nepohřbený;ἄ-θαπτος 2;58;
Eurípidés;ὁ Εὐριπίδης, ου;58;
Makedonie;ἡ Μακεδονία, ας;58;
kostka;ὁ κύβος, ου;58;
horní město, vyšehrad;ἡ ἀκρόπολις, εως;59;
uchvacuji, plením;ἀν-αρπάζω;59;
tvoření;ἡ ποίησις, εως;59;
tragédie;ἡ τραγῳδία, ας;59;
Sofoklés;ὁ Σοφοκλῆς, έους;59;
uvádím do otroctví, zotročuji;ἀνδραποδίζω;59;
Pythagorás;ὁ Πῦθαγόρας, ου;59;
milovník moudrosti, filosof;ὁ φιλό-σοφος, ου;59;
zakládám;κτίζω;59;
zkouším, pokouším se;πειρῶμαι, ᾶσθαι;59;
nespravedlivý;ἄ-δικος 2;59;
hlasuji;ψηφίζομαι;59;
odesílám;άπο-στέλλω;60;
Leonidas;ὁ Λεωνίδας, ου;60;
zvěstuji, ohlašuji;ἀπ-αγγέλλω;60;
ukládám, nařizuji;ἐν-τέλλομαι;60;
nařízení, rozkazy;τά ἐντεταλμένα;60;
vyžaduji;ἐξ-αιτῶ, εῖν;60;
neozbrojený, beze zbraně;ἄν-οπλος 2;60;
Ajás;ὁ Αἴας, αντος;60;
šílím;μαίνομαι;60;
zabodávám, usmrcuji;ἀπο-σφάττω;60;
tábor, ležení;τό στρατόπεδον, ου;60;
posel, vyslanec;ὁ πρεσβευτής, οῦ;60;
odcházím;άπο-χωρῶ, εῖν;60;
Fókión;ὁ Φωκίων, ωνος;60;
jsem rozumný;σωφρονῶ, εῖν;60;
otřásám;σείω;61;
peloponnéský;Πελοποννησιακός 3;61;
Pyrrhos;ὁ Πύρρος, ου;61;
hotový, odhodlaný, ochotný;ἑτοῖμος 3, 2;61;
činím, uzavírám smlouvu s;σπένδομαί (τινι);61;
sestra;ἡ ἀδελφή, ῆς;61;
pláči, oplakávám;κλαίω;61;
ustávám činiti;παύομαι ποιῶν;61;
ač;καίπερ;61;
spaluji;κατα-καίω;61;
Thérámenés;ὁ Θηραμένης, ους;61;
hnětu (uplácávám), tvořím;πλάττω;61;
kůže, rouno;τό δέρας, ατος;62;
Athamás;ὁ Ἀθάμας, αντος;62;
Boiótia;ἡ Βοιωτία, ας;62;
Nefelé;ἡ Νεφέλη, ης;62;
oblak;ἡ νεφέλη, ης;62;
Frixos;ὁ Φρίξος, ου;62;
Hellé;ἡ Ἕλλη, ης;62;
neúroda;ἡ ἀκαρπία, ας;62;
Inó;ἡ Ἰνώ, οῦς;62;
beran;ὁ κριός, οῦ;62;
upadl jsem;ἔπεσον (πίπτω);62;
Helléspontos;ὁ Ἑλλήσποντος, ου;62;
Kolchis;ἡ Κολχίς, ίδος;62;
Arés;ὁ Ἄρης, Ἄρεως;62;
obětní dar;τό ἀνάθημα, ατος;62;
Aiétés;ὁ Αἰήτης, ου;62;
obyvatelé Kolchidy;οἱ Κόλχοι, ων;62;
býk;ὁ ταῦρος, ου;62;
bez spánku;ἄ-υπνος 2;62;
had, drak;ὁ δράκων, οντος;62;
péče, starost;ἡ ἑπι-μέλεια, ας;63;
dávám;δίδωμι;63;
předkládám;παρα-τίθημι;63;
čtu;ἀνα-γιγνώσκω;63;
kladu;τίθημι;63;
dosahuji;τυγχάνω (+ gen);63;
vysílám, dovoluji;ἐφ-ίημι;63;
ženu se za, toužím po;ἐφ-ίεμαι (+ gen);63;
cizí;άλλότριος 3;63;
vlastní;ἴδιος 3;63;
vysílám (napřed);προίημι;63;
ztrácím;προ-ίεμαι;63;
stavím;ἵστημι;63;
činím, ustanovuji;καθ-ίστημι;63;
ustanovuji;ἐφ-ίστημι;63;
vychovatel;ὁ παιδ-αγωγός, οῦ;63;
svobodný;ἐλεύθερος 3;63;
ukazuji;δείκνυμι;63;
posílám;ἵημι;63;
ihned, hned;αὐτίκα;64;
zrazuji;προ-δίδωμι;64;
nakládám s;δια-τίθημι (+ akuz.);64;
odesílám od sebe, propouštím;ἀπο-πέμπομαι;64;
tak že;ὥστε;64;
Iónové;οἱ Ἴωνες, ων;64;
odvracím;ἀφ-ίστημι;64;
odpadám od;ἀφίσταμαι;64;
Alkibiadés;ὁ Ἀλκιβιάδης, ου;64;
zastavuji, zadržuji;παύω;64;
sněm;ἡ ἐκλησία, ας;64;
předávám, odevzdávám;παραδίδωμι;64;
syn;ὁ υἱός, υἱοῦ (υἱέος);64;
ukazuji, dokazuje;ἐπι-δείκνυμι;64;
náklonnost, přízeň;ἡ εὔ-νοια, ας;64;
vzdávám se;παραδίδωμι ἐμαυτόν;65;
Messéňané;οἱ Μεσσήνιοι, ων;65;
zotročuji, podmaňuji;δουλῶ, οῦν;65;
rolničím, vzdělávám půdu;γεωργῶ, εῖν;65;
prodávám;ἀπο-δίδομαι;65;
Efesané, obyv. Efesu;οἱ Ἐφέσιοι, ων;65;
věnuji, zasvěcuji;ἀνα-τίθημι;65;
obětní dar;τὸ ἀνάθημα, ατος;65;
Pittakos, vládce na Lesbu;ὁ Πιττακός, οῦ;65;
básník Alkaios;ὁ Ἀλκαῖος, ου;65;
propouštím;ἀφ-ίημι;65;
útočím, napadám;ἐπι-τίθεμαι (dat.);65;
Patroklos, přítel Achilleův;ὁ Πάτροκλος, ου;65;
Lysandros, spartský vojevůdce;ὁ Λύσανδρος, ου;65;
ihned;εὐθύς;65;
vkládám, naháním;ἐν-τίθημι;65;
představuji, měním;μεθ-ίστημι;65;
zřízení, ústava;ἡ πολιτεία, ας;65;
ustanovuji, určuji;ἀπο-δείκνυμι;65;
usiluji o;ἐπι-τίθεμαι (dat.);66;
zákony dávám;νόμους τίθημι;66;
překládám, měním;μετα-τίθημι;66;
nerozumný, nerozvážný;ἄφρων 2;66;
zřizuji, zařizuji;κατα-σκευάζω;66;
dovoluji, propouštím;παρ-ίημι;66;
vhodný čas, příležitost;ὁ καιρός, οῦ;66;
zjevný, zřejmý;φανερός 3;66;
nezjevný, neviditelný;ἀφανής 2;66;
pahorek Áreův;ὁ Ἄρειος πάγος;66;
sloup;ἡ στήλη, ης;66;
pomník, památka;ἡ μνημεῖον, ου;66;
cesta, výprava;ἡ πορεία, ας;66;
Ílion, Trója;τὸ Ἴλιον, ου;66;
pokutu platím, jsem trestán;δικην δίδωμι;67;
Hektór, trojský hrdina;ὁ Ἕκτωρ, ορος;67;
Datis, pers. vojevůdce;ὁ Δᾶτις, ιδος;67;
Dareios, perský král;ὁ Δαρεῖος, ου;67;
Arión, mythický pěvec;ὁ Ἀρίων, ονος;67;
delfín;ὁ δελφίς, ίνος;67;
odkládám, vysazuji;ἐκ-τίθημι;67;
slibuji;ἐπ-αγγέλλομαι;67;
připojuji se;προσ-τίθεμαι (dat.);67;
(vzhůru) stavím;ἀνίστημι;67;
pán;ὁ κύριος, ου;67;
cizinec;ὁ ξεῖνος (=ὁ ξένος), ου;67;
zde, tady;τῇδε;67;
ležím;κεῖμαι;67;
výrok, rozkaz, zákon;τὸ ῥῆμα, ατος;67;
onen;κεῖνος (= ἐκεῖνος) 3;67;
nastupuji;καθ-ίσταμαι;68;
království, král. trůn;ἡ βασιλεία, ας;68;
Artaxerxes, perský král;ὁ Αρταξέρξης, ου;68;
Archimedes;ὁ Ἀρχιμήδης, ους;68;
jde, kam;ποῦ;68;
hýbám;κινῶ, εῖν;68;
iónský;Ἰωνικός 3;68;
Tisafernes, Persan;ὁ Τισσαφέρνης, ους;68;
Milét, ms. v MA;ἡ Μίλητος, ου;68;
náhoda, osud;ἡ τύχη, ης;68;
proti, mimo (akuz.);παρά (akuz.);68;
mínění, očekávání;ἡ δόξα, ης;68;
přihází se;συμ-βαίνει;68;
obviňuji;αἰτιῶμαι, ᾶσθαι;68;
vstupuji;ἐμ-βαίνω;68;
Halys, řeka v MA;ὁ Ἅλυς, υος;68;
utíkám (pryč);ἀπο-διδράσκω;68;
řadím se proti;ἀντι-τάττομαι;68;
pán;ὁ δεσπότης, ου;68;
předstihnuji;φθάνω;68;
činím dříve než ty;φθάνω σε ποιῶν;68;
kráčím, přicházím;χωρῶ, εῖν;68;
stavím se kolem;περι-ίσταμαι;69;
stavím se na odpor, odporuji;ἀνθ-ίσταμαι;69;
stavím se v čelo;προ-ίσταμαι;69;
Solón, zákonodárce Athén;ὁ Σόλων, ωνος;69;
jsem ustanoven;ἐπί-κειμαι (pass. k ἐπιτίθημι);69;
ukládám, určuji;ἐπι-τίθημι;69;
špatně mluvím o (akuz.);κακῶς ἀγορεύω (akuz.);69;
bojím se;δέδοικα;69;
naplňuji;ἐμ-πίμπλημι;70;
lakota, hrabivost;ἡ πλεονεξία, ας;70;
Sardy, hl. ms. Lýdie;αἱ Σάρδεις, εων;70;
zapaluji;ἐμ-πίμπρημι;70;
budoucnost;τό μέλλον, οντος;70;
Olynthos, město na Chalkidice;ἡ Ὄλυνθος, ου;70;
podkopávám, bořím;κατασκάπτω;70;
takový;τοιοῦτος 3;70;
spěchám, pospíchám;σπεύδω;71;
ostrov;ἡ νῆσος, ου;71;
ležím kolem;περίκειμαι;71;
místo;τὸ χωρίον, ου;71;
Isthmos, korintská úžina;ὁ Ἰσθμός, οῦ;71;
bojuji na moři, svádím námořní bitvu;ναθμαχῶ, εῖν;71;
Mnésifilos, Athéňán;ὁ Μνησίφιλος, ου;71;
již ne;οὐκέτι (μηκέτι);71;
Eurybiades, spartský vojevůdce;ὁ Εὐρυβιάδης, ου;71;
zadržuji;κατέχω;71;
shromažďuji, sbírám;συνάγω;71;
znova, opět;αὖθις;71;
povstávám;ἀν-ίσταμαι;71;
konečně;τέλος (adv.);71;
filosof Zenón;ὁ Ζήνων, ωνος;72;
neučenost, nevědomost;ἡ ἀμαθία, ας;72;
prožívám;καταβιῶ, οῦν;72;
Artabazos, perský vojevůdce;ὁ Αρτάβαζος, ου;72;
Plataje, ms. v Boiótii;αἱ Πλαταιαί, ῶν;72;
stává se, přihází se;ἀπο-βαίνει;72;
když, kdykoliv;ὁπότε;72;
Lyčané, národ v MA;οἱ Λύκιοι, ων;72;
Proxenos (řc. vůdce u Kýra Jr.);ὁ Πρόξενος, ου;72;
bojótský;Βοιώτιος 3;72;
z domova;οἴκοθεν;72;
starý, dávný;ἀρχαῖος 3;72;
sdílím se o to, sděluji (+dat.);ἀνα-κοινοῦμαι (+dat.);72;
odsuzuji (+gen);κατα-γιγνώσκω (+gen);72;
odsuzuji někoho k smrti;θάνατον καταγιγνώσκω τινός;72;
příroda, přirozený řád;ἡ φύσις, εως;72;
báje, slovo, řeč;ὁ μῦθος, ου;73;
růže;τὸ ῥόδον, ου;73;
Adónis, mythický lovec;ὁ Ἄδωνις, ιδος;73;
krev;τὸ αἷμα, ατος;73;
plodím, rodím;φύω;73;
Laios, král thébský;ὁ Λάϊος, ου;73;
šat;ἡ στολή, ῆς;73;
médský;Μηδικός 3;73;
oblékám;ἐν-δύω;73;
svlékám (si, se);ἐκ-δύομαι;73;
Méd;ὁ Μῆδος, ου;73;
obchodník, kupec;ὁ ἔμπορος, ου;73;
potápím, ponořuji;κατα-δύω;73;
Illyrové;οἱ Ἰλλυριοί, ῶν;74;
klíč, klíční kost;ἡ κλείς, κλειδός (akuz. κλεῖν);74;
lámu;κατ-άγνυμι;74;
sám vládnoucí, neomezený;αὐτοκράτωρ, ορος 2;74;
hubím, ztrácím;ἀπ-όλλυμι;74;
hynu;ἀπόλλυμαι;74;
jsem ztracen, je po mně veta;ἀπόλωλα;74;
zda ... či;πότερον ... ἤ;74;
poutám, spojuji;ζεύγνυμι;74;
stavím most přes Hellespont;τὸν Ἑλλήσποντον ζ.;74;
bouře;ὁ Χειμών, ῶνος;74;
rozlučuji, strhávám;δια-λύω;74;
most;ἡ γέφυρα, ας;74;
vítězím v boji;μάχην νικῶ, ᾶν;74;
jsem jednomyslný, svorný;ὁμονοῶ, εῖν;74;
podle (+ akuz.);κατά (+akuz.);74;
Artemision (předhoří na Euboji);τὸ Ἀρτεμίσιον, ου;74;
strom;τὸ δένδρον, ου;74;
kruh, kolo;ὁ κύκλος, ου;74;
kolem, dokola;κύκλῷ;74;
kámen, zvláště mramor;ὁ λίθος, ου;74;
bílý;λευκός 3;74;
upevňuji, zarážím;πήγνυμι;74;
samský (ze Samu);Σάμιος 3;75;
šat;ἡ ἐσθής, ῆτος;75;
oblékám;ἀμφιέννυμι;75;
nosím, nosívám;φορῶ, εῖν;75;
opásávám, med. přepásávám se;περι-ζώννυμι;75;
Orsippos (olymp. závodník);ὁ Ὄρσιππος, ου;75;
vítěziti v olympijských hrách;Ὀλύμπια νικᾶν;75;
nahý;γυμνός 3;75;
pás, zástěra;τὸ περί-ζωμα, ατος;75;
snadno běžím;ῥᾴδιός εἰμι τρέχειν;75;
pětiboj;τὸ πέντ-αθλον, ου;75;
závodím v pětiboji;τὸ π. ἀγωνίζομαι;75;
obsahuji;περι-έχω;75;
skok, skákání;τὸ ἅλμα, ατος;75;
rychlost nohou;ἡ ποδ-ώκεια, ας;75;
kotouč, touš, disk;ὁ δίσκος, ου;75;
házet kopí, oštěp;ὁ ἄκων, ἄκοντος;75;
zápas, zápolení, prostý zápas;ἡ πάλη, ης;75;
Zhrák;ὁ θρᾷξ, θρᾳκός;75;
mísím;κεράννυμι;75;
Caesar;ὁ Καῖσαρ, αρος;75;
smích;ὁ γέλως, ωτος;75;
hrozím;ἀπειλῶ, εῖν;75;
posiluji, pass. sílím, mohutním;ῥώννυμι;75;
býti silný, zdráv;ἐρρῶσθαι;75;
hasím, potlačuji;κατα-σβέννυμι;75;
touha;ἡ ἐπι-θυμία, ας;75;
bojechtivost, bojovnost;ἡ μάχης ἐπιθυμία;75;
rána;τὸ τραῦμα, ατος;76;
hranice;ἡ πυρά, ᾶς;76;
uhasínám;ἀπο-σβέννυμαι;76;
Onésikritos, vojevůdce a dějepisec za A. Velikého;ὁ Ὀνησίκριτος, ου;76;
starší;πρεσβύτερος 3 (πρέσβυς);76;
přátelství;ἡ φιλία, ας;76;
odděluji, jsem vzdálen;δι-έχω (impf. διεῖχον);76;
když (tu);ἡνίκα;76;
podezírám, tuším (s obavou);ὑπ-οπτεύω;76;
obojí;ἀμφότερος 3;76;
jsem právě;τυγχάνω ὤν;76;
druhý (jeden z obou);ἕτερος 3;76;
podobám se;ἔοικα, ἐοικέναι;77;
vím;οἶδα, εἰδέναι;77;
zármutek;ἡ λύπη, ης;77;
zakouším dobrého, dobře se se mnou zachází;εὖ πάσχω;77;
prokazuji (projevuji) někomu vděčnost;οἶδα χάριν τινί;77;
skrývám, zatajuji;ἀπο-κρύπτω;77;
vypátrávám, vyšetřuji, vyzvídám;ἐξερευνῶ, ᾶν;77;
perský;περσικός 3;77;
jako (právě);ὥσ-περ;77;
vpředu, dříve, předtím;πρόσθεν;77;
jsem slabší, podléhám, jsem poražen;ἡττῶμαι, ᾶσθαι;77;
velmi, velice;μέγα (ak. příslovkový);77;
malý, krátký;σμικρός (=μικρός);77;
málo;σμικρόν (ak. příslovkový);77;
spolu vím (τινί τι: vím -jistě- o někom něco);σύν-οιδα;77;
jsem si vědom;σύν-οιδα ἐμαυτῷ;77;
obydlí, dům;ὁ οἶκος, ου;77;
lichotím, pochlebuji (+akuz.);κολακεύω (+akuz.);77;
vyhnaný, podrobený, vyvrácený, zpustošený;ἀνά-στατος 2;77;
jsem pustošen;γίγνομαι ἀνάστατος;77;
válečná výprava, tažení;ἡ στρατεία, ας;78;
síla, moc;τὸ κράτος, ους;78;
Athos, pohoří na Chalkidice;ὁ Ἄθως, Ἄθω;78;
prokopávám;διορύττω;78;
hrnu se, valím se;ῥέω, ῥεῖν;78;
pozbívám mysli, malomyslním;ἀθυμῶ, εῖν;78;
pěší, o bitvě: pozemní;πεζός 3;78;
provádím, pořizuji;δια-πράττω;78;
lesk;ἡ λαμπρότης, ητος;78;
posiluji, vzmužuji;ἐπι-ρρώννυμι;78;
jestli, když;εἴ-περ = εἰ;79;
rovný, stejný (jako) (+dat);ἴσος 3 (+dat.);79;
rozum;ἡ γνώμη, ης;79;
Áres Makedonský (Filippos);Ἄρης Μακεδών;79;
Parthenón;Παρθενών, ῶνος;79;
Kallikrates;ὁ Καλλικράτης, ους;79;
